identifier,filename,subject_topical 1,subject_topical_authority 1,subject_topical_URI 1,subject_topical 2,subject_topical_authority 2,subject_topical_URI 2,subject_topical 3,subject_topical_authority 3,subject_topical_URI 3,subject_topical 4,subject_topical_authority 4,subject_topical_URI 4,subject_topical 5,subject_topical 6,subject_topical_URI 6,subject_topical_authority 6,subject_topical 7,subject_topical_authority 7,subject_topical_URI 7,subject_topical 8,subject_authority 8,subject_topical_URI 8,subject_local_label 1,subject_local_code 1,subject_local_label 2,subject_local_code 2,subject_local_label 3,subject_local_code 3,subject_local_label 4,subject_local_code 4,subject_local_label 5,subject_local_code 5,subject_geographic 1,subject_geographic_URI 1,subject_geographic_coordinates 1,subject_geographic 2,subject_geographic_URI 2,subject_geographic_coordinates 2,subject_geographic 3,subject_geographic_URI 3,subject_geographic_coordinates 3,subject_geographic 4,subject_geographic_URI 4,subject_geographic_coordinates 4,subject_name 1,subject_name_authority 1,subject_name_URI 1,subject_name 2,subject_authority 2,subject_name_URI 2,subject_name 3,subject_authority 3,subject_URI 3,subject_name 4,subject_name 5,subject_temporal,subject_temporal_local,shelf_locator,classification_number,collection,collection_identifier,holdingsExternal_city,holdingsExternal_county,holdingsExternal_state,physicalLocation@type=accessionNumber,repository,repository_URI,sublocation,record_creation_date,record_source,extent,internet_media_type,name_role 1 1,name_role_URI 1 1,name_role 1 2,name_role_URI 1 2,name_corporate 1,name_corporate_authority 1,name_corporate_URI 1,name_personal 1,name_authority 1,name_personal_URI 1,name_desc 1,name_role 2,name_role_URI 2,name_corporate 2,name_corporate_authority 2,name_corporate_URI 2,name_personal 2,name_personal_authority 2,name_personal_URI 2,name_description 2,name_role 3,name_role_URI 3,name_corporate 3,name_personal 3,name_personal_authority 3,name_personal_URI 3,name_desc 3,date_single,date_text,date_range_end,date_qualifier,public_note,place_of_origin 1,place_of_origin_URI 1,place_of_origin 2,place_of_origin_URI 2,date_publication,date_publication_qualifier,publisher,relatedItem@type=host_title,relatedItem@type=host_detail@type=issue,language,title_initial_article,title_work,item_type 1,item_type 2,form 1,form_URI 1,form 2,form_URI 2,genre,genre_URI,rights,abstract,digital_origin,language_of_ cataloging,project_url,project_title
0031_000052_000205_0001,0031_000052_000205_0001.jpeg,Tugboats,lcsh,http://id.loc.gov/authorities/subjects/sh85138492,,,,,,,,,,,,,,,,,,,,Transportation and Internal Improvements,D.23,"Trade, Business and Industry",D.22,,,,,,,,,,,,,,,,,,,Colonel J. Neare (steamboat),,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),,,Raymond G. Whitfield Scrapbook,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-17,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,,,,"Whitfield, Raymond G.",,,,,,,,,,,,,,,,,,,,1926-12-02,1926-12-02,,,,,,,,,,,,,eng,,Colonel J. Neare Steamer,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","This is a photograph of the ""Colonel J. Neare"", a steamer pushing a barge on a river.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000052_000206_0001,0031_000052_000206_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,"Trade, Business and Industry",D.22,Architecture,D.2,,,,,,,Putnam County (Tenn.),http://id.loc.gov/authorities/names/n82153144,"36.16667N, 85.65000W",,,,,,,,,,J. D. Loftis Garage,,,,,,,,,,,1927-02,Era 7 - The Emergence of Modern America (1890-1930),,,Raymond G. Whitfield Scrapbook,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-17,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,,,,"Whitfield, Raymond G.",,,,,,,,,,,,,,,,,,,,1927-02,1927-02,,,,,,,,,,,,,eng,,J. D. Loftis Garage,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",This is a photograph of J.D. Loftis Garage.,reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000052_000207_0001,0031_000052_000207_0001.jpeg,Ferries,lcsh,http://id.loc.gov/authorities/subjects/sh85047856,,,,,,,,,,,,,,,,,,,,Transportation and Internal Improvements,D.23,,,,,,,,,,,,,,,,,,,,,Anderson's Ferry,,,,,,,,,,,1927-06,Era 7 - The Emergence of Modern America (1890-1930),,,Raymond G. Whitfield Scrapbook,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-17,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,,,,"Whitfield, Raymond G.",,,,,,,,,,,,,,,,,,,,1927-06,1927-06,,,,,,,,,,,,,eng,,"Anderson's Ferry, Sam's Ford Truck",still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",This is a photograph of Anderson's Ferry.,reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000052_000208_0001,0031_000052_000208_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,"Trade, Business and Industry",D.22,Transportation and Internal Improvements,D.23,,,,,,,Putnam County (Tenn.),http://id.loc.gov/authorities/names/n82153144,"36.16667N, 85.65000W",,,,,,,,,,"Whitfield, Raymond G.",,,,,,,,,,,1927-09-25,Era 7 - The Emergence of Modern America (1890-1930),,,Raymond G. Whitfield Scrapbook,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-17,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1927-09-25,1927-09-25,,,,,,,,,,,,,eng,,Raymond G. Whitfield on a white truck with gravel washing cylinders,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",This is a photograph of Raymond G. Whitfield on a white truck with gravel washing cylinders. A new hotel is in the background.,reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000052_000209_0001,0031_000052_000209_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,"Trade, Business and Industry",D.22,,,,,,,,,Gainesboro (Tenn.),http://id.loc.gov/authorities/names/n85081940,"36.35556N, 85.65889W",Jackson County (Tenn.),http://id.loc.gov/authorities/names/n84173411,"36.36666N, 85.65000W",,,,,,,,,,,,,,,,,,1927-10-04,Era 7 - The Emergence of Modern America (1890-1930),,,Raymond G. Whitfield Scrapbook,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,,,,"Whitfield, Raymond G.",,,,,,,,,,,,,,,,,,,,1927-10-04,1927-10-04,,,,,,,,,,,,,eng,The ,"famous wrestler of Gainesboro, shown dumping cement",still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","This is a photograph that is titled,""The famous wrestler of Gainesboro, shown dumping cement"". The title comes from the scrapbook, and the ""famous wrestler"" is not named.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000052_000210_0001,0031_000052_000210_0001.jpeg,Construction equipment,lcsh,http://id.loc.gov/authorities/subjects/sh85031345,,,,,,,,,,,,,,,,,,,,"Trade, Business and Industry",D.22,Science and Technology,D.19,,,,,,,Jackson County (Tenn.),http://id.loc.gov/authorities/names/n84173411,"36.36666N, 85.65000W",,,,,,,,,,,,,,,,,,,,,1927-10-09,Era 7 - The Emergence of Modern America (1890-1930),,,Raymond G. Whitfield Scrapbook,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,,,,"Whitfield, Raymond G.",,,,,,,,,,,,,,,,,,,,1927-10-09,1927-10-09,,,,,,,,,,,,,eng,,Pouring three panels of Steel Span #1. Duffy-engineer,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","This photograph is titled,""Pouring three panels of Steel Span #1. Duffy-engineer"".",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000052_000211_0001,0031_000052_000211_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,Transportation and Internal Improvements,D.23,Government and Politics,D.10,Architecture,D.2,,,,,Gainesboro (Tenn.),http://id.loc.gov/authorities/names/n85081940,"36.35556N, 85.65889W",Jackson County (Tenn.),http://id.loc.gov/authorities/names/n84173411,"36.36666N, 85.65000W",,,,,,,Gainesboro Courthouse,,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),,,Raymond G. Whitfield Scrapbook,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,,,,"Whitfield, Raymond G.",,,,,,,,,,,,,,,,,,,,1927-10-15,1927-10-15,,,,,,,,,,,,,eng,,"New Courthouse, Gainsboro, Tennessee",still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","This is a photograph of the ""new"", as of 1927, courthouse in Gainesboro, Tennessee.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000052_000212_0001,0031_000052_000212_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,Transportation and Internal Improvements,D.23,"Trade, Business and Industry",D.22,,,,,,,Jackson County (Tenn.),http://id.loc.gov/authorities/names/n84173411,"36.36666N, 85.65000W",Cumberland River (Ky. and Tenn.),http://id.loc.gov/authorities/subjects/sh85034781,E,,,,,,,U.S.S. John,,,Cofferdam Pier 32,,,,,,,,1929-10,Era 7 - The Emergence of Modern America (1890-1930),,,Raymond G. Whitfield Scrapbook,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,,,,"Whitfield, Raymond G.",,,,,,,,,,,,,,,,,,,,1929-10,1929-10,,,,,,,,,,,,,eng,,U.S.S. John and Cofferdam Pier 32,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","This photograph is titled,""U.S.S. John and Cofferdam Pier 32"".",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000052_000213_0001,0031_000052_000213_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,Transportation and Internal Improvements,D.23,"Trade, Business and Industry",D.22,,,,,,,Jackson County (Tenn.),http://id.loc.gov/authorities/names/n84173411,"36.36666N, 85.65000W",Cumberland River (Ky. and Tenn.),http://id.loc.gov/authorities/subjects/sh85034781,E,,,,,,,U.S.S. John,,,,,,,,,,,1929-10,Era 7 - The Emergence of Modern America (1890-1930),,,Raymond G. Whitfield Scrapbook,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,,,,"Whitfield, Raymond G.",,,,,,,,,,,,,,,,,,,,1929-10,1929-10,,,,,,,,,,,,,eng,,U.S.S. John - Government Work Boat,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","This is a photograph of the U.S.S. John, a government work boat.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000053_000203_0001,0031_000053_000203_0001.jpeg,United States. Army,lcsh,http://id.loc.gov/authorities/subjects/sh85140597,,,,,,,,,,,,,,,,,,,,Wars and Military,D.24,Transportation and Internal Improvements,D.23,,,,,,,Algood (Tenn.),http://id.loc.gov/authorities/names/n85081968,"36.19584N, 85.44861W",Putnam County (Tenn.),http://id.loc.gov/authorities/names/n82153144,"36.16667N, 85.65000W",,,,,,,"Wright, Carl",,,,,,,,,,,1917~,Era 7 - The Emergence of Modern America (1890-1930),,,Vertical Files,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Donor,http://id.loc.gov/vocabulary/relators/dnr,,,,,,"Wright, Carl",,,,,,,,,,,,,,,,,,,,1917,1917,,,,,,,,,,,,,eng,,"Gathering with soldiers in Downtown Algood, Tennessee, c. 1917",still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,"This is a World War I era photograph of a gathering in downtown Algood, Tennessee, c. 1917.  Townsfolk stand behind lines of soldiers in uniform at attention. Buildings include the Bank of Algood, a drug store, a place called Harp and Pointer advertising Stag Shoe for Men, Algood Lodge No. 561, and N.W.A. Algood Camp No. 13118.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000053_000204_0001,0031_000053_000204_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,Popular Culture and Folklore,D.17,,,,,,,,,Fentress County (Tenn.),http://id.loc.gov/authorities/names/n82084271,"36.38334N, 84.93333W",,,,,,,,,,,,,,,,,,,,,[1880..1910]~,Era 6 - The Development of the Industrial United States (1870-1900),,,Vertical Files,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1880,approximately between 1880 and 1910,1910,approximate,,,,,,,,,,,eng,,Men in a Fentress County town,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,"This photograph is titled,""Men in a Fentress County town"".  This is possibly Rugby, Tennessee, but that info is inferred from the folder in which it was found. There is no identifying information on the photograph.     Date: unknown, but late 1800s/early 1900s by clothing?",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000053_000205_0001,0031_000053_000205_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,Architecture,D.2,Immigrants and Immigration,D.12,Social Reform,D.20,,,,,Rugby (Tenn.),http://id.loc.gov/authorities/names/no2005033618,"36.36028N, 84.70084W",Fentress County (Tenn.),http://id.loc.gov/authorities/names/n82084271,"36.38334N, 84.93333W",,,,,,,Tabard Inn,,,,,,,,,,,[1880..1890]~,Era 6 - The Development of the Industrial United States (1870-1900),,,Vertical Files,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1880,approximately between 1880 and 1890,1890,approximate,,,,,,,,,,,eng,,"Group in front of the second Tabard Inn, Rugby, Tennessee",still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,"This is a photograph of a group of people in front of the second Tabard Inn in Rugby, Tennessee. The first Tabard Inn was destroyed by fire in the early 1880's. The inn was named after the hostelry in Chaucer's Canterbury Tales.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000053_000206_0001,0031_000053_000206_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,Architecture,D.2,,,,,,,,,Fentress County (Tenn.),http://id.loc.gov/authorities/names/n82084271,"36.38334N, 84.93333W",,,,,,,,,,Fentress town,,,,,,,,,,,[1880..1900]~,Era 6 - The Development of the Industrial United States (1870-1900),,,Vertical Files,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1880,approximately between 1880 and 1990,1990,approximate,,,,,,,,,,,eng,,Fentress town scene,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","This photograph is titled, ""Fenress town scene"". It is not known what town in Fentress County it is.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000053_000207_0001,0031_000053_000207_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,"Trade, Business and Industry",D.22,,,,,,,,,Fentress County (Tenn.),http://id.loc.gov/authorities/names/n82084271,"36.38334N, 84.93333W",Littlecrab (Tenn.),,,,,,,,,Bob's Bar Well,,,,,,,,,,,[1875..1900]~,Era 6 - The Development of the Industrial United States (1870-1900),,,Vertical Files,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1875,approximately between 1875 and 1910,1910,approximate,,,,,,,,,,,eng,,"Men at Bob's Bar Well, Little Crab, Fentress County, Tennessee",still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,"This is a photograph of men in various poses at Bob Bar's Well in Little Crab, Fentress County, Tennessee.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000053_000208_0001,0031_000053_000208_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,Government and Politics,D.10,,,,,,,,,Jamestown (Tenn.),http://id.loc.gov/authorities/names/n89110713,E,Fentress County (Tenn.),http://id.loc.gov/authorities/names/n82084271,"36.38334N, 84.93333W",,,,,,,,,,,,,,,,,,[1885..1890],Era 6 - The Development of the Industrial United States (1870-1900),,,Vertical Files,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1885,approximately between 1885 and 1890,1890,approximate,,,,,,,,,,,eng,,"Sheriff and his family in front of the jail, Jamestown, Tennessee",still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,"This is a photograph of a sheriff and his family infront of the jail in Jamestown, Tennessee. It is thought that the picture was taken between 1885 to 1890. The date of photograph was estimated by women's clothing.    Location: Jamestown, Fentress County, Tennessee",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000053_000211_0001,0031_000053_000211_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,"Trade, Business and Industry",D.22,,,,,,,,,Littlecrab (Tenn.),,,Fentress County (Tenn.),http://id.loc.gov/authorities/names/n82084271,"36.38334N, 84.93333W",,,,,,,Bob's Bar Well,,,,,,,,,,,1899~,Era 6 - The Development of the Industrial United States (1870-1900),,,Vertical Files,,Cookeville,Putnam County,Tennessee,,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1899,1899,,,,,,,,,,,,,eng,,"Men and horses at base of Bob's Bar well, Little Crab in Fentress County, Tennessee",still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,"This is a photograph of men and horses around Bob's Bar Well in the vicinity of Little Crab in Fentress County, Tennessee. The date of the photograph was based on time of newspaper clippings.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0031_000054_000200_0001,0031_000054_000200_0001.jpeg,Phrenology,lcsh,http://id.loc.gov/authorities/subjects/sh85101440,,,,,,,,,,,,,,,,,,,,Science and Technology,D.19,Social Reform,D.20,,,,,,,Wilson County (Tenn.),http://id.loc.gov/authorities/names/n81083036,"36.15000N, 86.28333W",Watertown (Tenn.),http://id.loc.gov/authorities/names/n85307675,E,,,,,,,"Bryan, Wilson",,,"Fowler, Frank",,,,,,,,1858-06-08,Era 4 - Expansion and Reform (1801-1861),,,Charles Faulkner Bryan Collection,,Cookeville,Putnam County,Tennessee,Record Group 42,Angelo & Jennette Volpe Library & Media Center,http://id.loc.gov/authorities/names/no2009188639,,2008-01-18,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 certificate,image/jpeg,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,"Fowler, Frank",,,,,,,,,,,,,,,,,,,,1858-06-08,1858-06-08,,,,,,,,,,,,,eng,,Phrenological Character of Master Wilson Bryan,text,,records (documents),http://vocab.getty.edu/aat/300026685,,,Certificates,,Public domain.,"This certificate attesting to Wilson Bryan's Phrenological Character was issued by Frank Fowler who identified himself as a Professor of Phrenology. The test was completed at Watertown, Wilson Couty, Tennessee. Identifies phrenology as a ""moral and intellectual science,"" and claims that ""Self-knowledge is the key to self-improvement."" Phenology is completely discredited now and was viewed with great suspicion by many scolars at the time this certificate was issued (1858).",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0032_000050_000200_0001,0032_000050_000200_0001.jpeg,Hardwood industry--Tennessee,lcsh,,Lumber industry--Tennessee--Johnson City,lcsh,,,,,,,,,Lumber trade,http://id.worldcat.org/fast/1003543,fast,,,,,,,New South period and the industrialization of Tennessee,B.8,"Trade, Business and Industry",D.22,,,,,,,Johnson City (Tenn.),http://id.loc.gov/authorities/names/n79071806,"36.31333N, 82.35361W",Washington County (Tenn.),http://id.loc.gov/authorities/names/n85389258,"36.28333N, 82.48333W",,,,,,,Harris Manufacturing,,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),,,James Agee Film Project Photographs,,Johnson City,Washington County,Tennessee,AppMs 471,Archives of Appalachia,http://id.loc.gov/authorities/names/n84083119,,2007-03-20,East Tennessee State University,1 digital image; 1 negative ; 4 x 5 in,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,Donor,http://id.loc.gov/vocabulary/relators/dnr,,,,"Harris, Allen",,,,,,,,,,,1920,1920,,,,Johnson City (Tenn.),http://id.loc.gov/authorities/names/n79071806,,,,,,,,zxx,,Harris Manufacturing Company,still image,,negatives (photographic),http://vocab.getty.edu/aat/300127173,,,,,Public domain.,"Group photo of employees of Harris Manufacturing Company in Johnson City, Tenn., standing and sitting outside plant on piles of lumber.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0032_000050_000201_0001,0032_000050_000201_0001.jpeg,Children,lcsh,http://id.loc.gov/authorities/subjects/sh85023418,,,,,,,,,,,,,,,,,,,,New South period and the industrialization of Tennessee,B.8,Children and Childhood,D.4,Family Life and Gender Relations,D.7,,,,,Johnson City (Tenn.),http://id.loc.gov/authorities/names/n79071806,"36.31333N, 82.35361W",Washington County (Tenn.),http://id.loc.gov/authorities/names/n85389258,"36.28333N, 82.48333W",,,,,,,Harrison Family,,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),,,James Agee Film Project Photographs,,Johnson City,Washington County,Tennessee,AppMs 471,Archives of Appalachia,http://id.loc.gov/authorities/names/n84083119,,2007-04-23,East Tennessee State University,456 digital images; 2.5 linear feet (6 boxes); 4 x 5 inches,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1930,1930,,,,Johnson City (Tenn.),http://id.loc.gov/authorities/names/n79071806,,,,,,,,zxx,,Child of Burr Harrison,still image,,negatives (photographic),http://vocab.getty.edu/aat/300127173,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Barefoot child drinking water from a water spicket in a yard.,reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0032_000050_000202_0001,0032_000050_000202_0001.jpeg,African Americans,lcsh,http://id.loc.gov/authorities/subjects/sh2002006225,Children,lcsh,http://id.loc.gov/authorities/subjects/sh85023418,,,,,,,,,,,,,,,,,Modern times in Tennessee,B.15,African-Americans,D.1,Sports and Recreation,D.21,,,,,Johnson City (Tenn.),http://id.loc.gov/authorities/names/n79071806,"36.31333N, 82.35361W",Washington County (Tenn.),http://id.loc.gov/authorities/names/n85389258,"36.28333N, 82.48333W",,,,,,,Johnson City Recreation Department,,,,,,,,,,,,Era 9 - Postwar United States (1945-1970's),,,James Agee Film Project Photographs,,Johnson City,Washington County,Tennessee,AppMs 471,Archives of Appalachia,http://id.loc.gov/authorities/names/n84083119,,2007-04-23,East Tennessee State University,456 digital images; 2.5 linear feet (6 boxes); 4 x 5 inches,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1950,1950,,,,Johnson City (Tenn.),http://id.loc.gov/authorities/names/n79071806,,,,,,,,zxx,,"Roller skaters at Johnson City, Tenn., Recreation Department",still image,,negatives (photographic),http://vocab.getty.edu/aat/300127173,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","African American children roller skating at Johnson City, Tenn., Recreation Department",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
